recipientGaugeAddr,poolAddress,symbol,distribution,pctDistribution,voteWeightNoBoost,staticBoost,dynamicBoost,boost,voteWeight,cap,fixedIncentive
0xF3B314B1D2bd7d9afa8eC637716A9Bb81dBc79e5,0x2Bb4712247D5F451063b5E4f6948abDfb925d93D,bpt-weethwsteth,2814.8,20.0,0.8506006153674229,2.0,1.0,2.0,1.7012012307348459,20%,0
0xA15C762974BA3aC59abc305FbA097A0E564F7470,0x73A7fe27fe9545D53924E529Acf11F3073841b9e,wrsETH/wETH,2326.526667324035,16.53067121872982,0.604559115054532,2.0,1.0,2.0,1.209118230109064,20%,0
0x5669FB0DCfA758Bf69FB3AdAB14578EDe14cc89A,0x5F8893506Ddc4C271837187d14A9C87964a074Dc,bpt-ethtri,2055.460917417248,14.604667595688845,0.6467376579653134,1.5,1.1275494079491002,1.6275494079491004,1.0525974923198336,20%,0
0xF27D53f21d024643d50de50183932F17638229F6,0x4Fd63966879300caFafBB35D157dC5229278Ed23,BPT-rETH-ETH,1536.8944536569913,10.920097013336589,0.7946874387373268,1.0,1.0,1.0,0.7946874387373268,20%,0
0x476F2DedF358eB87c4C22DFaf5e511f68e0272e0,0x0Ccb0C34D4898dFA8de3ece9D814074E60aDEFd0,bpt-ineth-wsteth,1333.4541607938427,9.474592587706713,0.35149039158447637,2.0,1.0,2.0,0.7029807831689527,20%,0
0x9F9f8d58496691D541C40dbc2b1b20f8C43e8d8C,0x7Ca75bdEa9dEde97F8B13C6641B768650CB83782,ECLP-wstETH-WETH,1208.1028403448686,8.58393378104923,0.604559115054532,1.0,1.0511161121059356,1.0511161121059356,0.6354618265543246,20%,0
0xC19055C2FF199Ba6190505Ef776573c8B7cC676A,0x004700ba0a4f5f22e1E78a277fCA55e36F47E09C,bpt-ankrgalaharm,1105.0805428364351,7.851929393466215,0.3303985861344535,1.75,1.0,1.75,0.5781975257352936,20%,0
0x48b0a702139cad717f760eBf55C817D545A415ca,0xC9Eb4b8ce914EE451360B315ffD1D1AF8df96bE9,bpt-insteth-wsteth,1071.525356956831,7.61350971263913,0.2811907061893831,2.0,1.0,2.0,0.5623814123787662,20%,0
0xc46AB6Aa92F7c30B8Fb1D445b4B957203EbBbd6e,0xA71021492a3966EeC735Ed1B505aFa097c7cFe6f,bpt-fraxethe,367.53201837710117,2.611425453866002,0.1898034430985158,1.0,1.0,1.0,0.1898034430985158,20%,0
0x758D3297d9D9325EFb6DD424a7B2EdCaB47e309E,0x2FEb76966459d7841fa8A7Ed0aa4bf574d6111Bf,bpt-yieldconcerto,254.62304229264618,1.8091732435174517,0.1335653858841407,1.0,1.0,1.0,0.1335653858841407,10%,0
