recipientGaugeAddr,poolAddress,symbol,distribution,pctDistribution,voteWeightNoBoost,staticBoost,dynamicBoost,boost,voteWeight,cap,fixedIncentive
0xF27D53f21d024643d50de50183932F17638229F6,0x4Fd63966879300caFafBB35D157dC5229278Ed23,BPT-rETH-ETH,633.2,20.0,1.0233056566012677,1.0,1.0,1.0,1.0233056566012677,20%,0
0x9F9f8d58496691D541C40dbc2b1b20f8C43e8d8C,0x7Ca75bdEa9dEde97F8B13C6641B768650CB83782,ECLP-wstETH-WETH,633.2,20.0,0.5704994181066773,1.0,1.0,1.0,0.5704994181066773,20%,0
0x5669FB0DCfA758Bf69FB3AdAB14578EDe14cc89A,0x5F8893506Ddc4C271837187d14A9C87964a074Dc,bpt-ethtri,633.2,20.0,0.7305175475756231,1.5,1.0999411265889867,1.5999411265889867,1.1687850680611662,20%,0
0xC19055C2FF199Ba6190505Ef776573c8B7cC676A,0x004700ba0a4f5f22e1E78a277fCA55e36F47E09C,bpt-ankrgalaharm,633.2,20.0,0.4174385986146419,3.25,1.0,3.25,1.3566754454975862,20%,0
0x80aDD8a1BF48AB726b96f19Ae1bF27A39e3C9cbD,0x2a5139cd86C041aa3467e649F5Ee0880A5de2f2F,bpt-stadue,275.5236878988326,8.70258016104967,0.2087192993073206,1.0,1.0,1.0,0.2087192993073206,10%,0
0x758D3297d9D9325EFb6DD424a7B2EdCaB47e309E,0x2FEb76966459d7841fa8A7Ed0aa4bf574d6111Bf,bpt-yieldconcerto,217.36510409280976,6.86560657273562,0.2087192993073206,1.0,1.0,1.0,0.2087192993073206,10%,0
0xc46AB6Aa92F7c30B8Fb1D445b4B957203EbBbd6e,0xA71021492a3966EeC735Ed1B505aFa097c7cFe6f,bpt-fraxethe,140.31120800835728,4.4318132662146965,0.12523157958439218,1.0,1.0,1.0,0.12523157958439218,20%,0
